wavelength_um,SW,uc_SW,Total,uc_Total,LW,uc_LW,SSW,uc_SSW
4.4906,0.0824435,0.00160765,0.972769,0.000995748,0.00541636,0.00116723,0.197186,0.00174937
4.49418,0.0831249,0.00159638,0.97279,0.000996702,0.00559446,0.00119068,0.197929,0.00172438
4.49776,0.0837926,0.0015853,0.972811,0.000996916,0.0057782,0.00121485,0.198665,0.00170061
4.50135,0.0844393,0.00157422,0.972832,0.00099715,0.00596768,0.00123956,0.199388,0.00167694
4.50494,0.0850596,0.00156318,0.972853,0.000997404,0.00616368,0.00126474,0.200091,0.00165343
4.50854,0.0856507,0.00155215,0.972874,0.000997674,0.00636784,0.0012904,0.200767,0.00163005
4.51213,0.0862104,0.0015412,0.972895,0.000997956,0.00658192,0.00131639,0.201408,0.00160688
4.51573,0.0867362,0.00153026,0.972916,0.000998246,0.00680764,0.00134283,0.202008,0.00158384
4.51933,0.0872257,0.00151936,0.972937,0.000998538,0.00704673,0.00136962,0.202561,0.00156097
4.52294,0.0876766,0.00150849,0.972957,0.00099883,0.00730092,0.00139681,0.203059,0.00153825
4.52655,0.0880864,0.00149767,0.972977,0.000999115,0.00757195,0.0014243,0.203495,0.00151571
4.53016,0.0884527,0.0014869,0.972996,0.000999387,0.00786154,0.00145209,0.203863,0.00149338
4.53377,0.0887732,0.00147618,0.973015,0.000999642,0.00817144,0.00148015,0.204157,0.00147126
4.53739,0.0890454,0.0014655,0.973033,0.000999874,0.00850336,0.00150855,0.204373,0.00144932
4.54101,0.089267,0.00145487,0.973051,0.00100008,0.00885905,0.00153718,0.204509,0.00142762
4.54463,0.0894355,0.00148175,0.973068,0.00100002,0.00924023,0.0016241,0.204564,0.00152246
4.54825,0.0895485,0.0015191,0.973084,0.000999883,0.00964864,0.00172897,0.204534,0.0016584
4.55188,0.0896038,0.00155709,0.973099,0.000999718,0.010086,0.00183646,0.204418,0.0018037
4.55551,0.0895987,0.00159558,0.973113,0.000999523,0.0105541,0.0019459,0.204213,0.00195594
4.55915,0.0895311,0.00163464,0.973127,0.000999297,0.0110545,0.00205725,0.203916,0.00211403
4.56278,0.0893984,0.00167403,0.973139,0.000999039,0.0115892,0.00216964,0.203527,0.00227594
4.56642,0.0891983,0.001714,0.97315,0.000999016,0.0121597,0.00228365,0.203042,0.00244228
4.57007,0.0889283,0.0017546,0.97316,0.000999481,0.0127678,0.00239924,0.202458,0.00261278
4.57371,0.0885862,0.0017954,0.973168,0.000999923,0.0134153,0.00251531,0.201775,0.00278474
4.57736,0.0881694,0.00183662,0.973176,0.00100035,0.0141039,0.00263236,0.200989,0.00295874
4.58101,0.0876756,0.00187811,0.973181,0.00100077,0.0148353,0.00274999,0.200098,0.00313403
4.58467,0.0871024,0.00194022,0.973186,0.00100121,0.0156112,0.00288097,0.1991,0.00333211
4.58832,0.0864474,0.00215732,0.973188,0.00100181,0.0164334,0.00310668,0.197993,0.00369123
4.59198,0.0857082,0.00237982,0.97319,0.00100244,0.0173036,0.00333439,0.196774,0.00405399
4.59565,0.0848825,0.00260647,0.973189,0.00100311,0.0182236,0.0035638,0.195442,0.00441967
4.59931,0.0839677,0.00283515,0.973187,0.00100386,0.019195,0.00379344,0.193993,0.00478578
4.60298,0.0829622,0.00306645,0.973183,0.00100471,0.0202196,0.00402437,0.192426,0.00515394
4.60665,0.081869,0.0032993,0.973177,0.0010057,0.0212992,0.00425584,0.190743,0.00552288
4.61033,0.0806928,0.00353398,0.973169,0.00100687,0.0224354,0.00448835,0.188947,0.0058934
4.61401,0.0794385,0.00376961,0.97316,0.00100823,0.02363,0.0047212,0.187042,0.00626435
4.61769,0.0781109,0.00400598,0.97315,0.00100981,0.0248848,0.00495431,0.185032,0.0066356
4.62137,0.0767149,0.00424293,0.973139,0.00101163,0.0262014,0.00518761,0.18292,0.00700705
4.62506,0.0752552,0.00448099,0.973126,0.00101369,0.0275816,0.0054217,0.180709,0.00737965
4.62875,0.0737368,0.00471941,0.973113,0.00101599,0.0290272,0.00565589,0.178403,0.00775232
4.63244,0.0721644,0.00495812,0.973099,0.00101854,0.0305398,0.00589015,0.176006,0.00812501
4.63613,0.0705429,0.00519704,0.973085,0.0010213,0.0321211,0.00612446,0.173521,0.00849767
4.63983,0.068877,0.00543676,0.97307,0.00102426,0.0337731,0.00635925,0.170951,0.00887125
4.64353,0.0671718,0.00567656,0.973055,0.00102736,0.0354972,0.00659362,0.1683,0.00924462
4.64724,0.0654319,0.0059171,0.97304,0.00103061,0.0372954,0.00682862,0.165571,0.00961891
4.65094,0.0636621,0.00615704,0.973025,0.00103396,0.0391693,0.00706298,0.162769,0.00999208
4.65465,0.0618675,0.00639765,0.97301,0.00103735,0.0411218,0.00729794,0.159896,0.0103661
4.65837,0.0600527,0.00663892,0.972995,0.00104075,0.0431584,0.00753349,0.156956,0.010741
4.66208,0.0582226,0.00687952,0.972981,0.00104409,0.0452846,0.00776835,0.153953,0.0111147
4.6658,0.056382,0.00702662,0.972968,0.00104726,0.0475059,0.00808341,0.150889,0.0114186
4.66952,0.0545358,0.00696076,0.972955,0.0010501,0.0498279,0.00857871,0.14777,0.0115622
4.67325,0.0526888,0.00689479,0.972943,0.00105272,0.0522563,0.00907534,0.144597,0.0117061
4.67698,0.0508459,0.00682888,0.972933,0.00105506,0.0547965,0.00957191,0.141375,0.01185
4.68071,0.0490118,0.00676304,0.972923,0.00105705,0.0574541,0.0100684,0.138107,0.0119937
