wavelength_um,lst,u_random_lst
0.499965,0.926994,0.000259367
0.500364,0.927033,0.000257286
0.500763,0.927072,0.000255201
0.501162,0.92711,0.00025311
0.501562,0.927149,0.000257909
0.501962,0.927187,0.000263759
0.502363,0.927226,0.000269644
0.502763,0.927264,0.000275562
0.503164,0.927302,0.000281511
0.503566,0.92734,0.000287491
0.503967,0.927378,0.000293499
0.504369,0.927416,0.000299535
0.504772,0.927453,0.000305597
0.505174,0.927491,0.000311684
0.505577,0.927528,0.000317796
0.505981,0.927566,0.000323931
0.506384,0.927603,0.000330088
0.506788,0.92764,0.000336267
0.507193,0.927677,0.000342467
0.507597,0.927713,0.000348687
0.508002,0.92775,0.000354927
0.508407,0.927786,0.000361186
0.508813,0.927823,0.000367463
0.509219,0.927859,0.000373758
0.509625,0.927895,0.000370823
0.510032,0.927931,0.000365505
0.510438,0.927966,0.000360184
0.510846,0.928002,0.00035486
0.511253,0.928037,0.000349533
