wavelength_um,sw,u_random_sw,u_param_sw,u_scatter_sw,to,u_random_to,u_param_to,u_scatter_to,lw,u_random_lw,u_param_lw,u_scatter_lw,ss,u_random_ss,u_param_ss,u_scatter_ss
2.35022,0.839265,0.00069474,0.000498252,0.000484158,0.96135,0.000464774,0.000197966,0.000420505,0.000765862,3.86623e-05,1.71054e-05,3.46724e-05,0.635496,0.000420061,0.000333976,0.000254778
2.35209,0.839289,0.000691582,0.000492278,0.000485745,0.961359,0.000466377,0.000195602,0.000423377,0.000755339,3.84474e-05,1.69199e-05,3.45243e-05,0.635503,0.000419955,0.000331774,0.000257464
2.35397,0.839308,0.000688285,0.000486048,0.000487333,0.961368,0.000468018,0.000193265,0.00042625,0.000744606,3.82282e-05,1.67238e-05,3.4376e-05,0.635509,0.000419745,0.000329403,0.000260153
2.35585,0.83932,0.000684885,0.000479605,0.000488923,0.961377,0.000469695,0.000190955,0.000429126,0.000733683,3.80051e-05,1.65183e-05,3.42276e-05,0.635515,0.000419439,0.000326867,0.000262844
2.35773,0.839326,0.000681419,0.000473,0.000490514,0.961386,0.000471409,0.000188675,0.000432005,0.000722587,3.77785e-05,1.63042e-05,3.40791e-05,0.635521,0.000419042,0.00032417,0.000265537
2.35961,0.839325,0.00067793,0.000466284,0.000492106,0.961395,0.000473159,0.000186424,0.000434886,0.000711334,3.7549e-05,1.60825e-05,3.39305e-05,0.635527,0.00041856,0.000321316,0.000268232
2.36149,0.83932,0.000674457,0.000459514,0.000493699,0.961404,0.000474944,0.000184204,0.000437769,0.000699943,3.73171e-05,1.58542e-05,3.37818e-05,0.635532,0.000418001,0.000318311,0.00027093
2.36337,0.839308,0.000671039,0.000452745,0.000495294,0.961413,0.000476765,0.000182015,0.000440654,0.000688431,3.70833e-05,1.56202e-05,3.3633e-05,0.635537,0.000417371,0.00031516,0.00027363
2.36526,0.83929,0.000667715,0.000446032,0.00049689,0.961422,0.000478621,0.000179858,0.000443541,0.000676816,3.6848e-05,1.53816e-05,3.3484e-05,0.635542,0.000416678,0.000311867,0.000276331
2.36715,0.839267,0.000664519,0.000439428,0.000498487,0.961431,0.00048051,0.000177734,0.000446431,0.000665116,3.66117e-05,1.51394e-05,3.33349e-05,0.635547,0.000415927,0.00030844,0.000279035
2.36903,0.839239,0.00066027,0.000432981,0.000498482,0.96144,0.00047963,0.000175643,0.000446312,0.000653347,3.64545e-05,1.48945e-05,3.32728e-05,0.635552,0.000413175,0.000304882,0.000278856
2.37092,0.839205,0.000654813,0.000426735,0.000496666,0.961449,0.000475603,0.000173587,0.000442793,0.000641529,3.63876e-05,1.46481e-05,3.33091e-05,0.635556,0.00040814,0.000301201,0.000275421
2.37281,0.839165,0.000649529,0.000420727,0.00049485,0.961458,0.000471586,0.000171566,0.000439271,0.000629677,3.63222e-05,1.44011e-05,3.33453e-05,0.63556,0.000403017,0.000297402,0.000271983
2.37471,0.839121,0.000644433,0.000414986,0.000493031,0.961468,0.000467581,0.00016958,0.000435746,0.000617811,3.62585e-05,1.41546e-05,3.33816e-05,0.635564,0.000397809,0.000293491,0.000268542
